2025-09-01 02:10:35 | INFO     | phase1_sync | 階段一：MySQL 跨表同步系統啟動
2025-09-01 02:10:35 | INFO     | phase1_sync | 同步模式：incremental
2025-09-01 02:10:35 | INFO     | phase1_sync | 同步間隔：60 秒
2025-09-01 02:10:35 | INFO     | phase1_sync | 批次大小：500
2025-09-01 02:10:35 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:35 | INFO     | phase1_sync | 跨表搜索索引不存在，正在建立...
2025-09-01 02:10:35 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:35 | INFO     | phase1_sync | 初始化跨表搜索索引
2025-09-01 02:10:35 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:35 | ERROR    | phase1_sync | 建立跨表搜索索引失敗：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-cross-search
2025-09-01 02:10:35 | INFO     | phase1_sync | 執行索引初始化模式
2025-09-01 02:10:35 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:35 | INFO     | phase1_sync | 初始化跨表搜索索引
2025-09-01 02:10:35 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:35 | ERROR    | phase1_sync | 建立跨表搜索索引失敗：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-cross-search
2025-09-01 02:10:35 | INFO     | phase1_sync | 初始化失敗或索引已存在
2025-09-01 02:10:37 | INFO     | phase1_sync | ✓ MySQL 連接成功：mysql:3306/erp_demo
2025-09-01 02:10:37 | INFO     | phase1_sync | ✓ Elasticsearch 已就緒
2025-09-01 02:10:37 | INFO     | phase1_sync | ✓ Elasticsearch 連接成功
2025-09-01 02:10:37 | INFO     | phase1_sync |   叢集名稱：elasticsearch-cluster
2025-09-01 02:10:37 | INFO     | phase1_sync |   叢集狀態：yellow
2025-09-01 02:10:37 | INFO     | phase1_sync |   節點數量：1
2025-09-01 02:10:37 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:37 | INFO     | phase1_sync | 階段一：MySQL 跨表同步系統啟動
2025-09-01 02:10:37 | INFO     | phase1_sync | 同步模式：incremental
2025-09-01 02:10:37 | INFO     | phase1_sync | 同步間隔：60 秒
2025-09-01 02:10:37 | INFO     | phase1_sync | 批次大小：500
2025-09-01 02:10:37 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:37 | INFO     | phase1_sync | 跨表搜索索引不存在，正在建立...
2025-09-01 02:10:37 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:37 | INFO     | phase1_sync | 初始化跨表搜索索引
2025-09-01 02:10:37 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:37 | ERROR    | phase1_sync | 建立跨表搜索索引失敗：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-cross-search
2025-09-01 02:10:37 | INFO     | phase1_sync | 執行索引初始化模式
2025-09-01 02:10:37 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:37 | INFO     | phase1_sync | 初始化跨表搜索索引
2025-09-01 02:10:37 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:37 | ERROR    | phase1_sync | 建立跨表搜索索引失敗：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-cross-search
2025-09-01 02:10:37 | INFO     | phase1_sync | 初始化失敗或索引已存在
2025-09-01 02:10:40 | INFO     | phase1_sync | ✓ MySQL 連接成功：mysql:3306/erp_demo
2025-09-01 02:10:40 | INFO     | phase1_sync | ✓ Elasticsearch 已就緒
2025-09-01 02:10:40 | INFO     | phase1_sync | ✓ Elasticsearch 連接成功
2025-09-01 02:10:40 | INFO     | phase1_sync |   叢集名稱：elasticsearch-cluster
2025-09-01 02:10:40 | INFO     | phase1_sync |   叢集狀態：yellow
2025-09-01 02:10:40 | INFO     | phase1_sync |   節點數量：1
2025-09-01 02:10:40 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:40 | INFO     | phase1_sync | 階段一：MySQL 跨表同步系統啟動
2025-09-01 02:10:40 | INFO     | phase1_sync | 同步模式：incremental
2025-09-01 02:10:40 | INFO     | phase1_sync | 同步間隔：60 秒
2025-09-01 02:10:40 | INFO     | phase1_sync | 批次大小：500
2025-09-01 02:10:40 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:40 | INFO     | phase1_sync | 跨表搜索索引不存在，正在建立...
2025-09-01 02:10:40 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:40 | INFO     | phase1_sync | 初始化跨表搜索索引
2025-09-01 02:10:40 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:40 | ERROR    | phase1_sync | 建立跨表搜索索引失敗：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-cross-search
2025-09-01 02:10:40 | INFO     | phase1_sync | 執行索引初始化模式
2025-09-01 02:10:40 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:40 | INFO     | phase1_sync | 初始化跨表搜索索引
2025-09-01 02:10:40 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:40 | ERROR    | phase1_sync | 建立跨表搜索索引失敗：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-cross-search
2025-09-01 02:10:40 | INFO     | phase1_sync | 初始化失敗或索引已存在
2025-09-01 02:10:44 | INFO     | phase1_sync | ✓ MySQL 連接成功：mysql:3306/erp_demo
2025-09-01 02:10:44 | INFO     | phase1_sync | ✓ Elasticsearch 已就緒
2025-09-01 02:10:44 | INFO     | phase1_sync | ✓ Elasticsearch 連接成功
2025-09-01 02:10:44 | INFO     | phase1_sync |   叢集名稱：elasticsearch-cluster
2025-09-01 02:10:44 | INFO     | phase1_sync |   叢集狀態：yellow
2025-09-01 02:10:44 | INFO     | phase1_sync |   節點數量：1
2025-09-01 02:10:44 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:44 | INFO     | phase1_sync | 階段一：MySQL 跨表同步系統啟動
2025-09-01 02:10:44 | INFO     | phase1_sync | 同步模式：incremental
2025-09-01 02:10:44 | INFO     | phase1_sync | 同步間隔：60 秒
2025-09-01 02:10:44 | INFO     | phase1_sync | 批次大小：500
2025-09-01 02:10:44 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:44 | INFO     | phase1_sync | 跨表搜索索引不存在，正在建立...
2025-09-01 02:10:44 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:44 | INFO     | phase1_sync | 初始化跨表搜索索引
2025-09-01 02:10:44 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:44 | ERROR    | phase1_sync | 建立跨表搜索索引失敗：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-cross-search
2025-09-01 02:10:44 | INFO     | phase1_sync | 執行索引初始化模式
2025-09-01 02:10:44 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:44 | INFO     | phase1_sync | 初始化跨表搜索索引
2025-09-01 02:10:44 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:44 | ERROR    | phase1_sync | 建立跨表搜索索引失敗：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-cross-search
2025-09-01 02:10:44 | INFO     | phase1_sync | 初始化失敗或索引已存在
2025-09-01 02:10:51 | INFO     | phase1_sync | ✓ MySQL 連接成功：mysql:3306/erp_demo
2025-09-01 02:10:51 | INFO     | phase1_sync | ✓ Elasticsearch 已就緒
2025-09-01 02:10:51 | INFO     | phase1_sync | ✓ Elasticsearch 連接成功
2025-09-01 02:10:51 | INFO     | phase1_sync |   叢集名稱：elasticsearch-cluster
2025-09-01 02:10:51 | INFO     | phase1_sync |   叢集狀態：yellow
2025-09-01 02:10:51 | INFO     | phase1_sync |   節點數量：1
2025-09-01 02:10:51 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:51 | INFO     | phase1_sync | 階段一：MySQL 跨表同步系統啟動
2025-09-01 02:10:51 | INFO     | phase1_sync | 同步模式：incremental
2025-09-01 02:10:51 | INFO     | phase1_sync | 同步間隔：60 秒
2025-09-01 02:10:51 | INFO     | phase1_sync | 批次大小：500
2025-09-01 02:10:51 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:51 | INFO     | phase1_sync | 跨表搜索索引不存在，正在建立...
2025-09-01 02:10:51 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:51 | INFO     | phase1_sync | 初始化跨表搜索索引
2025-09-01 02:10:51 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:52 | ERROR    | phase1_sync | 建立跨表搜索索引失敗：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-cross-search
2025-09-01 02:10:52 | INFO     | phase1_sync | 執行索引初始化模式
2025-09-01 02:10:52 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:52 | INFO     | phase1_sync | 初始化跨表搜索索引
2025-09-01 02:10:52 | INFO     | phase1_sync | ============================================================
2025-09-01 02:10:52 | ERROR    | phase1_sync | 建立跨表搜索索引失敗：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-cross-search
2025-09-01 02:10:52 | INFO     | phase1_sync | 初始化失敗或索引已存在
2025-09-01 02:11:05 | INFO     | phase1_sync | ✓ MySQL 連接成功：mysql:3306/erp_demo
2025-09-01 02:11:05 | INFO     | phase1_sync | ✓ Elasticsearch 已就緒
2025-09-01 02:11:05 | INFO     | phase1_sync | ✓ Elasticsearch 連接成功
2025-09-01 02:11:05 | INFO     | phase1_sync |   叢集名稱：elasticsearch-cluster
2025-09-01 02:11:05 | INFO     | phase1_sync |   叢集狀態：yellow
2025-09-01 02:11:05 | INFO     | phase1_sync |   節點數量：1
2025-09-01 02:11:05 | INFO     | phase1_sync | ============================================================
2025-09-01 02:11:05 | INFO     | phase1_sync | 階段一：MySQL 跨表同步系統啟動
2025-09-01 02:11:05 | INFO     | phase1_sync | 同步模式：incremental
2025-09-01 02:11:05 | INFO     | phase1_sync | 同步間隔：60 秒
2025-09-01 02:11:05 | INFO     | phase1_sync | 批次大小：500
2025-09-01 02:11:05 | INFO     | phase1_sync | ============================================================
2025-09-01 02:11:05 | INFO     | phase1_sync | 跨表搜索索引不存在，正在建立...
2025-09-01 02:11:05 | INFO     | phase1_sync | ============================================================
2025-09-01 02:11:05 | INFO     | phase1_sync | 初始化跨表搜索索引
2025-09-01 02:11:05 | INFO     | phase1_sync | ============================================================
2025-09-01 02:11:05 | ERROR    | phase1_sync | 建立跨表搜索索引失敗：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-cross-search
2025-09-01 02:11:05 | INFO     | phase1_sync | 執行索引初始化模式
2025-09-01 02:11:06 | INFO     | phase1_sync | ============================================================
2025-09-01 02:11:06 | INFO     | phase1_sync | 初始化跨表搜索索引
2025-09-01 02:11:06 | INFO     | phase1_sync | ============================================================
2025-09-01 02:11:06 | ERROR    | phase1_sync | 建立跨表搜索索引失敗：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-cross-search
2025-09-01 02:11:06 | INFO     | phase1_sync | 初始化失敗或索引已存在
2025-09-01 02:11:32 | INFO     | phase1_sync | ✓ MySQL 連接成功：mysql:3306/erp_demo
2025-09-01 02:11:32 | INFO     | phase1_sync | ✓ Elasticsearch 已就緒
2025-09-01 02:11:32 | INFO     | phase1_sync | ✓ Elasticsearch 連接成功
2025-09-01 02:11:32 | INFO     | phase1_sync |   叢集名稱：elasticsearch-cluster
2025-09-01 02:11:32 | INFO     | phase1_sync |   叢集狀態：yellow
2025-09-01 02:11:32 | INFO     | phase1_sync |   節點數量：1
2025-09-01 02:11:32 | INFO     | phase1_sync | ============================================================
2025-09-01 02:11:32 | INFO     | phase1_sync | 階段一：MySQL 跨表同步系統啟動
2025-09-01 02:11:32 | INFO     | phase1_sync | 同步模式：incremental
2025-09-01 02:11:32 | INFO     | phase1_sync | 同步間隔：60 秒
2025-09-01 02:11:32 | INFO     | phase1_sync | 批次大小：500
2025-09-01 02:11:32 | INFO     | phase1_sync | ============================================================
2025-09-01 02:11:32 | INFO     | phase1_sync | 跨表搜索索引不存在，正在建立...
2025-09-01 02:11:32 | INFO     | phase1_sync | ============================================================
2025-09-01 02:11:32 | INFO     | phase1_sync | 初始化跨表搜索索引
2025-09-01 02:11:32 | INFO     | phase1_sync | ============================================================
2025-09-01 02:11:32 | ERROR    | phase1_sync | 建立跨表搜索索引失敗：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-cross-search
2025-09-01 02:11:32 | INFO     | phase1_sync | 執行索引初始化模式
2025-09-01 02:11:32 | INFO     | phase1_sync | ============================================================
2025-09-01 02:11:32 | INFO     | phase1_sync | 初始化跨表搜索索引
2025-09-01 02:11:32 | INFO     | phase1_sync | ============================================================
2025-09-01 02:11:32 | ERROR    | phase1_sync | 建立跨表搜索索引失敗：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-cross-search
2025-09-01 02:11:32 | INFO     | phase1_sync | 初始化失敗或索引已存在
2025-09-01 02:12:25 | INFO     | phase1_sync | ✓ MySQL 連接成功：mysql:3306/erp_demo
2025-09-01 02:12:25 | INFO     | phase1_sync | ✓ Elasticsearch 已就緒
2025-09-01 02:12:25 | INFO     | phase1_sync | ✓ Elasticsearch 連接成功
2025-09-01 02:12:25 | INFO     | phase1_sync |   叢集名稱：elasticsearch-cluster
2025-09-01 02:12:25 | INFO     | phase1_sync |   叢集狀態：yellow
2025-09-01 02:12:25 | INFO     | phase1_sync |   節點數量：1
2025-09-01 02:12:25 | INFO     | phase1_sync | ============================================================
2025-09-01 02:12:25 | INFO     | phase1_sync | 階段一：MySQL 跨表同步系統啟動
2025-09-01 02:12:25 | INFO     | phase1_sync | 同步模式：incremental
2025-09-01 02:12:25 | INFO     | phase1_sync | 同步間隔：60 秒
2025-09-01 02:12:25 | INFO     | phase1_sync | 批次大小：500
2025-09-01 02:12:25 | INFO     | phase1_sync | ============================================================
2025-09-01 02:12:25 | INFO     | phase1_sync | 跨表搜索索引不存在，正在建立...
2025-09-01 02:12:25 | INFO     | phase1_sync | ============================================================
2025-09-01 02:12:25 | INFO     | phase1_sync | 初始化跨表搜索索引
2025-09-01 02:12:25 | INFO     | phase1_sync | ============================================================
2025-09-01 02:12:25 | ERROR    | phase1_sync | 建立跨表搜索索引失敗：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-cross-search
2025-09-01 02:12:25 | INFO     | phase1_sync | 執行索引初始化模式
2025-09-01 02:12:25 | INFO     | phase1_sync | ============================================================
2025-09-01 02:12:25 | INFO     | phase1_sync | 初始化跨表搜索索引
2025-09-01 02:12:25 | INFO     | phase1_sync | ============================================================
2025-09-01 02:12:25 | ERROR    | phase1_sync | 建立跨表搜索索引失敗：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-cross-search
2025-09-01 02:12:25 | INFO     | phase1_sync | 初始化失敗或索引已存在
2025-09-01 02:13:26 | INFO     | phase1_sync | ✓ MySQL 連接成功：mysql:3306/erp_demo
2025-09-01 02:13:26 | INFO     | phase1_sync | ✓ Elasticsearch 已就緒
2025-09-01 02:13:26 | INFO     | phase1_sync | ✓ Elasticsearch 連接成功
2025-09-01 02:13:26 | INFO     | phase1_sync |   叢集名稱：elasticsearch-cluster
2025-09-01 02:13:26 | INFO     | phase1_sync |   叢集狀態：yellow
2025-09-01 02:13:26 | INFO     | phase1_sync |   節點數量：1
2025-09-01 02:13:26 | INFO     | phase1_sync | ============================================================
2025-09-01 02:13:26 | INFO     | phase1_sync | 階段一：MySQL 跨表同步系統啟動
2025-09-01 02:13:26 | INFO     | phase1_sync | 同步模式：incremental
2025-09-01 02:13:26 | INFO     | phase1_sync | 同步間隔：60 秒
2025-09-01 02:13:26 | INFO     | phase1_sync | 批次大小：500
2025-09-01 02:13:26 | INFO     | phase1_sync | ============================================================
2025-09-01 02:13:26 | INFO     | phase1_sync | 跨表搜索索引不存在，正在建立...
2025-09-01 02:13:26 | INFO     | phase1_sync | ============================================================
2025-09-01 02:13:26 | INFO     | phase1_sync | 初始化跨表搜索索引
2025-09-01 02:13:26 | INFO     | phase1_sync | ============================================================
2025-09-01 02:13:26 | ERROR    | phase1_sync | 建立跨表搜索索引失敗：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-cross-search
2025-09-01 02:13:26 | INFO     | phase1_sync | 執行索引初始化模式
2025-09-01 02:13:26 | INFO     | phase1_sync | ============================================================
2025-09-01 02:13:26 | INFO     | phase1_sync | 初始化跨表搜索索引
2025-09-01 02:13:26 | INFO     | phase1_sync | ============================================================
2025-09-01 02:13:26 | ERROR    | phase1_sync | 建立跨表搜索索引失敗：400 Client Error: Bad Request for url: http://elasticsearch:9200/erp-cross-search
2025-09-01 02:13:26 | INFO     | phase1_sync | 初始化失敗或索引已存在
2025-09-01 03:30:39 | INFO     | phase1_sync | ✓ MySQL 連接成功：mysql:3306/erp_demo
2025-09-01 03:30:39 | INFO     | phase1_sync | ✓ Elasticsearch 已就緒
2025-09-01 03:30:39 | INFO     | phase1_sync | ✓ Elasticsearch 連接成功
2025-09-01 03:30:39 | INFO     | phase1_sync |   叢集名稱：elasticsearch-cluster
2025-09-01 03:30:39 | INFO     | phase1_sync |   叢集狀態：yellow
2025-09-01 03:30:39 | INFO     | phase1_sync |   節點數量：1
2025-09-01 03:30:39 | INFO     | phase1_sync | ============================================================
2025-09-01 03:30:39 | INFO     | phase1_sync | 階段一：MySQL 跨表同步系統啟動
2025-09-01 03:30:39 | INFO     | phase1_sync | 同步模式：incremental
2025-09-01 03:30:39 | INFO     | phase1_sync | 同步間隔：60 秒
